area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surface,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface,province,Zone,zone_num,price_per_m2,subtype
160.0,284000.0,to be done up,,5.0,,,,9000,94.0,0,0,,house,house,1,24,East Flanders,Flanders_zone,3,1775.0,1
156.0,369000.0,good,2.0,3.0,installed,,,1500,410.0,0,0,,house,house,0,0,Flemish Brabant,Flanders_zone,3,2365.3846153846152,1
180.0,450000.0,,2.0,5.0,installed,,,9000,58.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,2500.0,1
165.0,359000.0,as new,2.0,3.0,hyper equipped,,,1930,149.0,1,12,,house,house,1,70,Flemish Brabant,Flanders_zone,3,2175.757575757576,1
140.0,385000.0,as new,2.0,3.0,hyper equipped,,,1420,267.0,1,25,,house,house,0,0,Walloon Brabant,Wallonia_zone,2,2750.0,1
187.0,199000.0,to renovate,,3.0,,,,8791,436.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1064.1711229946525,1
540.0,2800000.0,as new,4.0,6.0,usa hyper equipped,,,1640,2205.0,1,60,,house,house,1,2200,Flemish Brabant,Flanders_zone,3,5185.185185185185,1
175.0,395000.0,,2.0,3.0,installed,,,9820,63.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,2257.1428571428573,1
136.0,330000.0,,3.0,3.0,,,,9700,292.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,2426.470588235294,1
165.0,649000.0,as new,2.0,6.0,installed,,,2018,100.0,0,0,,house,apartment,0,0,Antwerp,Flanders_zone,3,3933.3333333333335,3
200.0,490000.0,good,3.0,3.0,,,,3040,417.0,0,0,,house,house,0,0,Flemish Brabant,Flanders_zone,3,2450.0,1
370.0,545000.0,,,5.0,,,1.0,8840,710.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1472.972972972973,1
239.0,569000.0,to renovate,2.0,6.0,installed,,2.0,9000,104.0,1,8,,house,mansion,0,0,East Flanders,Flanders_zone,3,2380.753138075314,6
474.0,550000.0,,2.0,4.0,,,,1500,229.0,0,0,,house,house,0,0,Flemish Brabant,Flanders_zone,3,1160.337552742616,1
175.0,425000.0,,,4.0,hyper equipped,,,8490,604.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,2428.5714285714284,1
290.0,225000.0,just renovated,2.0,6.0,installed,,,6210,160.0,0,0,,house,house,0,0,Hainaut,Wallonia_zone,2,775.8620689655172,1
400.0,2600000.0,,4.0,5.0,hyper equipped,,,1180,1425.0,1,60,,house,villa,1,700,Brussel-Capital,Brussels_zone,1,6500.0,2
240.0,995000.0,good,2.0,4.0,installed,,,2000,48.0,0,0,,house,apartment,0,0,Antwerp,Flanders_zone,3,4145.833333333333,3
136.0,298000.0,,,3.0,,,,9880,167.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,2191.176470588235,1
265.0,748000.0,good,3.0,4.0,installed,,,9000,165.0,1,30,,house,house,1,65,East Flanders,Flanders_zone,3,2822.6415094339623,1
174.0,275000.0,good,2.0,5.0,installed,,,9400,280.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,1580.4597701149426,1
465.0,2890000.0,as new,4.0,6.0,usa hyper equipped,,,1180,1400.0,1,90,True,house,villa,0,0,Brussel-Capital,Brussels_zone,1,6215.05376344086,2
156.0,450000.0,to renovate,2.0,4.0,installed,,,9000,94.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,2884.6153846153848,1
172.0,249000.0,,3.0,3.0,,,,2240,560.0,0,0,,house,house,0,0,Antwerp,Flanders_zone,3,1447.6744186046512,1
152.0,349000.0,,,3.0,,,,2590,261.0,0,0,,house,house,0,0,Antwerp,Flanders_zone,3,2296.0526315789475,1
636.0,625000.0,to be done up,4.0,6.0,installed,,,7620,2000.0,1,32,,house,country,1,1200,Hainaut,Wallonia_zone,2,982.7044025157232,7
144.0,425507.0,,3.0,3.0,,,,3020,420.0,0,0,,house,house,0,0,Flemish Brabant,Flanders_zone,3,2954.909722222222,1
450.0,590000.0,,2.0,5.0,not installed,,,1653,362.0,1,24,,house,mixed,0,0,Flemish Brabant,Flanders_zone,3,1311.111111111111,4
210.0,329000.0,good,4.0,5.0,usa semi equipped,,,4520,994.0,1,40,,house,apartment,1,60,Liege,Wallonia_zone,2,1566.6666666666667,3
114.0,249000.0,as new,,4.0,,,,8510,291.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,2184.2105263157896,1
253.0,788000.0,as new,4.0,4.0,hyper equipped,,,3360,809.0,0,0,,house,villa,0,0,Flemish Brabant,Flanders_zone,3,3114.624505928854,2
600.0,1170000.0,,,10.0,,,,1082,354.0,0,0,,house,house,0,0,Brussel-Capital,Brussels_zone,1,1950.0,1
220.0,425000.0,good,,5.0,installed,,,3320,860.0,0,0,,house,house,0,0,Flemish Brabant,Flanders_zone,3,1931.8181818181818,1
300.0,295000.0,to renovate,,3.0,,,,8501,1062.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,983.3333333333334,1
80.0,230000.0,as new,,3.0,hyper equipped,,,8434,206.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,2875.0,1
172.0,262110.0,,,3.0,installed,,,3473,367.0,0,0,,house,house,1,300,Flemish Brabant,Flanders_zone,3,1523.8953488372092,1
170.0,185000.0,to be done up,3.0,3.0,semi equipped,,,4520,428.0,1,9,,house,house,1,369,Liege,Wallonia_zone,2,1088.235294117647,1
188.0,265000.0,as new,3.0,4.0,,,,4460,115.0,1,19,,house,house,1,115,Liege,Wallonia_zone,2,1409.5744680851064,1
180.0,399000.0,to renovate,,9.0,,,,3500,130.0,0,0,,house,house,0,0,Limburg,Flanders_zone,3,2216.6666666666665,1
164.0,345000.0,good,3.0,3.0,,,,9750,342.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,2103.6585365853657,1
129.0,315000.0,,3.0,3.0,,,,1540,162.0,0,0,,house,house,0,0,Flemish Brabant,Flanders_zone,3,2441.860465116279,1
